year,money,type,denom,value,number
2003,1229.38,Notes,0500,500,2.459
2003,22.76,Notes,0005,5,4.552
2004,1527.28,Notes,0500,500,3.055
2004,2.99,Notes,0001,1,2.99
2004,38.76,Notes,0020,20,1.938
2004,4.62,Notes,0002,2,2.31
2004,67.7,Notes,0010,10,6.77
2004,299.41,Notes,0050,50,5.988
2004,1232.82,Notes,0100,100,12.328
2004,20.86,Notes,0005,5,4.172
2004,420.82,Notes,1000,1000,0.421
2005,40.77,Notes,0020,20,2.038
2005,1346.37,Notes,0100,100,13.464
2005,2.99,Notes,0001,1,2.99
2005,19.8,Notes,0005,5,3.96
2005,62.74,Notes,0010,10,6.274
2005,4.51,Notes,0002,2,2.255
2005,278.42,Notes,0050,50,5.568
2005,1823.32,Notes,0500,500,3.647
2005,643.46,Notes,1000,1000,0.643
2006,936.76,Notes,1000,1000,0.937
2006,3.01,Notes,0001,1,3.01
2006,2254.0,Notes,0500,500,4.508
2006,4.47,Notes,0002,2,2.235
2006,1354.44,Notes,0100,100,13.544
2006,18.87,Notes,0005,5,3.774
2006,279.51,Notes,0050,50,5.59
2006,71.55,Notes,0010,10,7.155
2006,41.78,Notes,0020,20,2.089
2007,1345.75,Notes,0100,100,13.458
2007,21.11,Notes,0005,5,4.222
2007,2631.08,Notes,0500,500,5.262
2007,6.36,Notes,0002,2,3.18
2007,265.08,Notes,0050,50,5.302
2007,41.08,Notes,0020,20,2.054
2007,93.33,Notes,0010,10,9.333
2007,3.0,Notes,0001,1,3.0
2007,1412.19,Notes,1000,1000,1.412
2008,1370.28,Notes,0100,100,13.703
2008,122.22,Notes,0010,10,12.222
2008,1917.84,Notes,1000,1000,1.918
2008,6.65,Notes,0002,2,3.325
2008,244.4,Notes,0050,50,4.888
2008,43.99,Notes,0020,20,2.2
2008,3.0,Notes,0001,1,3.0
2008,22.71,Notes,0005,5,4.542
2008,3083.04,Notes,0500,500,6.166
2009,210.57,Notes,0050,50,4.211
2009,3644.79,Notes,0500,500,7.29
2009,1383.64,Notes,0100,100,13.836
2009,22.33,Notes,0005,5,4.466
2009,185.36,Notes,0010,10,18.536
2009,6.98,Notes,0002,2,3.49
2009,2382.52,Notes,1000,1000,2.383
2009,2.99,Notes,0001,1,2.99
2009,46.81,Notes,0020,20,2.34
2010,4453.11,Notes,0500,500,8.906
2010,159.8,Notes,0050,50,3.196
2010,60.4,Notes,0020,20,3.02
2010,212.88,Notes,0010,10,21.288
2010,1402.43,Notes,0100,100,14.024
2010,3027.13,Notes,1000,1000,3.027
2010,8.51,Notes,0002,2,4.255
2010,34.3,Notes,0005,5,6.86
2010,2.99,Notes,0001,1,2.99
2011,2.99,Notes,0001,1,2.99
2011,36.43,Notes,0005,5,7.286
2011,5128.07,Notes,0500,500,10.256
2011,174.38,Notes,0050,50,3.488
2011,8.51,Notes,0002,2,4.255
2011,3468.81,Notes,1000,1000,3.469
2011,1411.88,Notes,0100,100,14.119
2011,230.02,Notes,0010,10,23.002
2011,70.2,Notes,0020,20,3.51
2012,76.5,Notes,0020,20,3.825
2012,251.68,Notes,0010,10,25.168
2012,4299.0,Notes,1000,1000,4.299
2012,5359.5,Notes,0500,500,10.719
2012,1442.1,Notes,0100,100,14.421
2012,8.51,Notes,0002,2,4.255
2012,173.05,Notes,0050,50,3.461
2012,36.87,Notes,0005,5,7.374
2012,2.99,Notes,0001,1,2.99
2013,2.99,Notes,0001,1,2.99
2013,5081.37,Notes,1000,1000,5.081
2013,1476.46,Notes,0100,100,14.765
2013,8.51,Notes,0002,2,4.255
2013,37.14,Notes,0005,5,7.428
2013,85.69,Notes,0020,20,4.284
2013,5702.48,Notes,0500,500,11.405
2013,266.48,Notes,0010,10,26.648
2013,172.42,Notes,0050,50,3.448
2014,2.99,Notes,0001,1,2.99
2014,1502.65,Notes,0100,100,15.026
2014,8.54,Notes,0002,2,4.27
2014,6563.91,Notes,0500,500,13.128
2014,5612.45,Notes,1000,1000,5.612
2014,303.04,Notes,0010,10,30.304
2014,37.02,Notes,0005,5,7.404
2014,86.99,Notes,0020,20,4.35
2014,174.36,Notes,0050,50,3.487
2015,36.8,Notes,0005,5,7.36
2015,194.5,Notes,0050,50,3.89
2015,8.53,Notes,0002,2,4.265
2015,1577.83,Notes,0100,100,15.778
2015,98.47,Notes,0020,20,4.924
2015,7853.75,Notes,0500,500,15.708
2015,3.09,Notes,0001,1,3.09
2015,320.15,Notes,0010,10,32.015
2015,6325.68,Notes,1000,1000,6.326
