market,month,year,quantity,priceMin,priceMax,priceMod,city,state,date,lon,lat
ABOHAR(PB),September,2010,395,836,1528,1318,ABOHAR,PB,2010-09-01,74.1993043,30.1452928
ABOHAR(PB),September,2011,545,925,1406,1225,ABOHAR,PB,2011-09-01,74.1993043,30.1452928
ABOHAR(PB),September,2012,200,517,917,775,ABOHAR,PB,2012-09-01,74.1993043,30.1452928
ABOHAR(PB),September,2013,575,4273,5109,4800,ABOHAR,PB,2013-09-01,74.1993043,30.1452928
ABOHAR(PB),September,2014,1245,1325,2063,1884,ABOHAR,PB,2014-09-01,74.1993043,30.1452928
ABOHAR(PB),October,2005,150,783,1370,1217,ABOHAR,PB,2005-10-01,74.1993043,30.1452928
ABOHAR(PB),October,2009,480,1479,1818,1664,ABOHAR,PB,2009-10-01,74.1993043,30.1452928
ABOHAR(PB),October,2010,435,989,1770,1504,ABOHAR,PB,2010-10-01,74.1993043,30.1452928
ABOHAR(PB),October,2011,970,956,1322,1119,ABOHAR,PB,2011-10-01,74.1993043,30.1452928
ABOHAR(PB),October,2012,315,650,1088,925,ABOHAR,PB,2012-10-01,74.1993043,30.1452928
ABOHAR(PB),October,2013,400,2979,5079,4429,ABOHAR,PB,2013-10-01,74.1993043,30.1452928
ABOHAR(PB),October,2014,535,1314,2136,1914,ABOHAR,PB,2014-10-01,74.1993043,30.1452928
ABOHAR(PB),November,2005,100,600,800,700,ABOHAR,PB,2005-11-01,74.1993043,30.1452928
ABOHAR(PB),November,2009,315,1269,1663,1497,ABOHAR,PB,2009-11-01,74.1993043,30.1452928
ABOHAR(PB),November,2010,320,1321,1892,1633,ABOHAR,PB,2010-11-01,74.1993043,30.1452928
ABOHAR(PB),November,2011,445,800,1200,992,ABOHAR,PB,2011-11-01,74.1993043,30.1452928
ABOHAR(PB),November,2012,675,806,1381,1150,ABOHAR,PB,2012-11-01,74.1993043,30.1452928
ABOHAR(PB),November,2013,575,2250,3600,2867,ABOHAR,PB,2013-11-01,74.1993043,30.1452928
ABOHAR(PB),November,2014,625,1325,2000,1781,ABOHAR,PB,2014-11-01,74.1993043,30.1452928
ABOHAR(PB),December,2005,900,521,670,602,ABOHAR,PB,2005-12-01,74.1993043,30.1452928
ABOHAR(PB),December,2009,335,1292,1581,1450,ABOHAR,PB,2009-12-01,74.1993043,30.1452928
ABOHAR(PB),December,2010,350,2522,3344,3028,ABOHAR,PB,2010-12-01,74.1993043,30.1452928
ABOHAR(PB),December,2011,50,500,800,600,ABOHAR,PB,2011-12-01,74.1993043,30.1452928
ABOHAR(PB),December,2012,310,880,1565,1270,ABOHAR,PB,2012-12-01,74.1993043,30.1452928
ABOHAR(PB),December,2013,470,1675,2356,1938,ABOHAR,PB,2013-12-01,74.1993043,30.1452928
ABOHAR(PB),December,2014,1155,1294,1903,1659,ABOHAR,PB,2014-12-01,74.1993043,30.1452928
AGRA(UP),January,2005,6400,329,424,377,AGRA,UP,2005-01-01,78.0080745,27.1766701
AGRA(UP),January,2006,11175,414,585,549,AGRA,UP,2006-01-01,78.0080745,27.1766701
AGRA(UP),January,2007,10300,762,844,801,AGRA,UP,2007-01-01,78.0080745,27.1766701
AGRA(UP),January,2008,50000,491,567,522,AGRA,UP,2008-01-01,78.0080745,27.1766701
AGRA(UP),January,2009,26500,1220,1327,1259,AGRA,UP,2009-01-01,78.0080745,27.1766701
AGRA(UP),January,2010,45430,1249,1366,1308,AGRA,UP,2010-01-01,78.0080745,27.1766701
AGRA(UP),January,2011,27385,2893,3141,3005,AGRA,UP,2011-01-01,78.0080745,27.1766701
AGRA(UP),January,2012,59900,661,755,715,AGRA,UP,2012-01-01,78.0080745,27.1766701
AGRA(UP),January,2013,64940,1238,1349,1292,AGRA,UP,2013-01-01,78.0080745,27.1766701
AGRA(UP),January,2014,143920,1102,1246,1200,AGRA,UP,2014-01-01,78.0080745,27.1766701
AGRA(UP),January,2015,64990,1587,1746,1693,AGRA,UP,2015-01-01,78.0080745,27.1766701
AGRA(UP),January,2016,134200,1039,1443,1349,AGRA,UP,2016-01-01,78.0080745,27.1766701
AGRA(UP),February,2005,4800,300,390,345,AGRA,UP,2005-02-01,78.0080745,27.1766701
AGRA(UP),February,2006,13400,354,453,412,AGRA,UP,2006-02-01,78.0080745,27.1766701
AGRA(UP),February,2007,8095,983,1093,1051,AGRA,UP,2007-02-01,78.0080745,27.1766701
AGRA(UP),February,2008,84200,320,407,354,AGRA,UP,2008-02-01,78.0080745,27.1766701
AGRA(UP),February,2009,36900,997,1078,1043,AGRA,UP,2009-02-01,78.0080745,27.1766701
AGRA(UP),February,2010,52580,1189,1321,1256,AGRA,UP,2010-02-01,78.0080745,27.1766701
AGRA(UP),February,2011,44110,1287,1424,1371,AGRA,UP,2011-02-01,78.0080745,27.1766701
AGRA(UP),February,2012,62410,602,709,653,AGRA,UP,2012-02-01,78.0080745,27.1766701
AGRA(UP),February,2013,47690,1656,1799,1746,AGRA,UP,2013-02-01,78.0080745,27.1766701
AGRA(UP),February,2014,96950,1111,1225,1177,AGRA,UP,2014-02-01,78.0080745,27.1766701
AGRA(UP),February,2015,56004,1476,1633,1583,AGRA,UP,2015-02-01,78.0080745,27.1766701
AGRA(UP),February,2016,124508,895,1220,1130,AGRA,UP,2016-02-01,78.0080745,27.1766701
AGRA(UP),March,2006,6992,348,405,376,AGRA,UP,2006-03-01,78.0080745,27.1766701
AGRA(UP),March,2007,15550,962,1088,1042,AGRA,UP,2007-03-01,78.0080745,27.1766701
AGRA(UP),March,2008,47550,375,470,423,AGRA,UP,2008-03-01,78.0080745,27.1766701
AGRA(UP),March,2009,43600,1056,1157,1096,AGRA,UP,2009-03-01,78.0080745,27.1766701
AGRA(UP),March,2010,67050,1163,1254,1205,AGRA,UP,2010-03-01,78.0080745,27.1766701
AGRA(UP),March,2011,51810,797,906,877,AGRA,UP,2011-03-01,78.0080745,27.1766701
AGRA(UP),March,2012,64175,611,708,658,AGRA,UP,2012-03-01,78.0080745,27.1766701
AGRA(UP),March,2013,71945,1256,1352,1305,AGRA,UP,2013-03-01,78.0080745,27.1766701
AGRA(UP),March,2014,100060,1048,1189,1146,AGRA,UP,2014-03-01,78.0080745,27.1766701
AGRA(UP),March,2015,56330,1660,1799,1750,AGRA,UP,2015-03-01,78.0080745,27.1766701
AGRA(UP),March,2016,104400,753,1083,1008,AGRA,UP,2016-03-01,78.0080745,27.1766701
AGRA(UP),April,2005,1900,325,375,360,AGRA,UP,2005-04-01,78.0080745,27.1766701
AGRA(UP),April,2006,9230,337,379,361,AGRA,UP,2006-04-01,78.0080745,27.1766701
AGRA(UP),April,2007,25700,533,616,566,AGRA,UP,2007-04-01,78.0080745,27.1766701
AGRA(UP),April,2008,42650,385,469,418,AGRA,UP,2008-04-01,78.0080745,27.1766701
AGRA(UP),April,2009,81100,691,776,747,AGRA,UP,2009-04-01,78.0080745,27.1766701
AGRA(UP),April,2010,106690,714,822,779,AGRA,UP,2010-04-01,78.0080745,27.1766701
AGRA(UP),April,2011,47870,631,705,673,AGRA,UP,2011-04-01,78.0080745,27.1766701
AGRA(UP),April,2012,67000,615,688,650,AGRA,UP,2012-04-01,78.0080745,27.1766701
AGRA(UP),April,2013,93980,1142,1215,1176,AGRA,UP,2013-04-01,78.0080745,27.1766701
AGRA(UP),April,2014,60150,1058,1182,1147,AGRA,UP,2014-04-01,78.0080745,27.1766701
AGRA(UP),April,2015,63800,1367,1561,1506,AGRA,UP,2015-04-01,78.0080745,27.1766701
AGRA(UP),May,2005,6750,300,376,338,AGRA,UP,2005-05-01,78.0080745,27.1766701
AGRA(UP),May,2006,15315,260,298,288,AGRA,UP,2006-05-01,78.0080745,27.1766701
AGRA(UP),May,2007,24050,473,558,513,AGRA,UP,2007-05-01,78.0080745,27.1766701
AGRA(UP),May,2008,69900,300,367,328,AGRA,UP,2008-05-01,78.0080745,27.1766701
AGRA(UP),May,2009,79860,629,707,680,AGRA,UP,2009-05-01,78.0080745,27.1766701
AGRA(UP),May,2010,97650,568,705,661,AGRA,UP,2010-05-01,78.0080745,27.1766701
AGRA(UP),May,2011,90900,573,652,615,AGRA,UP,2011-05-01,78.0080745,27.1766701
AGRA(UP),May,2012,83300,566,645,608,AGRA,UP,2012-05-01,78.0080745,27.1766701
AGRA(UP),May,2013,79860,1015,1090,1055,AGRA,UP,2013-05-01,78.0080745,27.1766701
AGRA(UP),May,2014,41045,1073,1190,1156,AGRA,UP,2014-05-01,78.0080745,27.1766701
AGRA(UP),May,2015,79030,1265,1392,1346,AGRA,UP,2015-05-01,78.0080745,27.1766701
AGRA(UP),June,2005,5700,308,372,340,AGRA,UP,2005-06-01,78.0080745,27.1766701
AGRA(UP),June,2006,13450,294,343,327,AGRA,UP,2006-06-01,78.0080745,27.1766701
AGRA(UP),June,2007,14535,520,602,563,AGRA,UP,2007-06-01,78.0080745,27.1766701
AGRA(UP),June,2008,87860,313,365,341,AGRA,UP,2008-06-01,78.0080745,27.1766701
AGRA(UP),June,2009,105372,552,642,609,AGRA,UP,2009-06-01,78.0080745,27.1766701
AGRA(UP),June,2010,86710,626,714,680,AGRA,UP,2010-06-01,78.0080745,27.1766701
AGRA(UP),June,2011,72450,507,619,562,AGRA,UP,2011-06-01,78.0080745,27.1766701
AGRA(UP),June,2012,48340,541,620,583,AGRA,UP,2012-06-01,78.0080745,27.1766701
AGRA(UP),June,2013,71440,1005,1080,1047,AGRA,UP,2013-06-01,78.0080745,27.1766701
AGRA(UP),June,2014,36960,1068,1206,1172,AGRA,UP,2014-06-01,78.0080745,27.1766701
AGRA(UP),June,2015,89880,1432,1666,1623,AGRA,UP,2015-06-01,78.0080745,27.1766701
AGRA(UP),July,2005,2300,317,383,350,AGRA,UP,2005-07-01,78.0080745,27.1766701
AGRA(UP),July,2006,12350,365,413,396,AGRA,UP,2006-07-01,78.0080745,27.1766701
AGRA(UP),July,2007,15700,915,1023,962,AGRA,UP,2007-07-01,78.0080745,27.1766701
AGRA(UP),July,2008,58290,444,555,495,AGRA,UP,2008-07-01,78.0080745,27.1766701
AGRA(UP),July,2009,78750,639,748,679,AGRA,UP,2009-07-01,78.0080745,27.1766701
AGRA(UP),July,2010,72110,772,888,846,AGRA,UP,2010-07-01,78.0080745,27.1766701
AGRA(UP),July,2011,46270,751,851,808,AGRA,UP,2011-07-01,78.0080745,27.1766701
AGRA(UP),July,2012,70690,666,754,716,AGRA,UP,2012-07-01,78.0080745,27.1766701
AGRA(UP),July,2013,36280,1601,1716,1652,AGRA,UP,2013-07-01,78.0080745,27.1766701
AGRA(UP),July,2014,22490,1677,1888,1846,AGRA,UP,2014-07-01,78.0080745,27.1766701
AGRA(UP),July,2015,65450,1979,2364,2275,AGRA,UP,2015-07-01,78.0080745,27.1766701
AGRA(UP),August,2005,3800,450,550,501,AGRA,UP,2005-08-01,78.0080745,27.1766701
AGRA(UP),August,2006,11400,381,437,420,AGRA,UP,2006-08-01,78.0080745,27.1766701
AGRA(UP),August,2007,18700,1077,1186,1132,AGRA,UP,2007-08-01,78.0080745,27.1766701
AGRA(UP),August,2008,20300,622,768,719,AGRA,UP,2008-08-01,78.0080745,27.1766701
AGRA(UP),August,2009,39180,734,831,783,AGRA,UP,2009-08-01,78.0080745,27.1766701
AGRA(UP),August,2010,67390,818,942,891,AGRA,UP,2010-08-01,78.0080745,27.1766701
AGRA(UP),August,2011,33400,947,1047,1003,AGRA,UP,2011-08-01,78.0080745,27.1766701
AGRA(UP),August,2012,71320,722,821,775,AGRA,UP,2012-08-01,78.0080745,27.1766701
AGRA(UP),August,2013,18270,3225,3513,3365,AGRA,UP,2013-08-01,78.0080745,27.1766701
AGRA(UP),August,2014,45420,1625,1862,1802,AGRA,UP,2014-08-01,78.0080745,27.1766701
AGRA(UP),August,2015,39030,2948,3464,3283,AGRA,UP,2015-08-01,78.0080745,27.1766701
AGRA(UP),September,2005,8305,847,939,894,AGRA,UP,2005-09-01,78.0080745,27.1766701
AGRA(UP),September,2006,13650,458,515,496,AGRA,UP,2006-09-01,78.0080745,27.1766701
AGRA(UP),September,2007,16650,1331,1432,1384,AGRA,UP,2007-09-01,78.0080745,27.1766701
AGRA(UP),September,2008,36930,653,925,843,AGRA,UP,2008-09-01,78.0080745,27.1766701
AGRA(UP),September,2009,35706,810,901,851,AGRA,UP,2009-09-01,78.0080745,27.1766701
AGRA(UP),September,2010,43055,1147,1272,1213,AGRA,UP,2010-09-01,78.0080745,27.1766701
AGRA(UP),September,2011,20200,1240,1394,1331,AGRA,UP,2011-09-01,78.0080745,27.1766701
AGRA(UP),September,2012,65360,726,808,766,AGRA,UP,2012-09-01,78.0080745,27.1766701
AGRA(UP),September,2013,30740,4098,4357,4225,AGRA,UP,2013-09-01,78.0080745,27.1766701
AGRA(UP),September,2014,46042,1539,1770,1675,AGRA,UP,2014-09-01,78.0080745,27.1766701
AGRA(UP),September,2015,31830,3500,4468,4318,AGRA,UP,2015-09-01,78.0080745,27.1766701
AGRA(UP),October,2005,3650,1225,1325,1267,AGRA,UP,2005-10-01,78.0080745,27.1766701
AGRA(UP),October,2006,7555,498,557,534,AGRA,UP,2006-10-01,78.0080745,27.1766701
AGRA(UP),October,2007,19312,1330,1519,1405,AGRA,UP,2007-10-01,78.0080745,27.1766701
AGRA(UP),October,2008,35165,775,891,847,AGRA,UP,2008-10-01,78.0080745,27.1766701
AGRA(UP),October,2009,29050,1198,1343,1272,AGRA,UP,2009-10-01,78.0080745,27.1766701
AGRA(UP),October,2010,38920,1327,1492,1411,AGRA,UP,2010-10-01,78.0080745,27.1766701
AGRA(UP),October,2011,30720,1330,1433,1381,AGRA,UP,2011-10-01,78.0080745,27.1766701
AGRA(UP),October,2012,51748,781,874,827,AGRA,UP,2012-10-01,78.0080745,27.1766701
AGRA(UP),October,2013,31800,4020,4384,4280,AGRA,UP,2013-10-01,78.0080745,27.1766701
AGRA(UP),October,2014,43910,1641,1838,1775,AGRA,UP,2014-10-01,78.0080745,27.1766701
AGRA(UP),October,2015,63215,2933,3844,3642,AGRA,UP,2015-10-01,78.0080745,27.1766701
AGRA(UP),November,2005,4645,1047,1175,1119,AGRA,UP,2005-11-01,78.0080745,27.1766701
AGRA(UP),November,2006,11050,465,528,511,AGRA,UP,2006-11-01,78.0080745,27.1766701
AGRA(UP),November,2007,25350,973,1116,1035,AGRA,UP,2007-11-01,78.0080745,27.1766701
AGRA(UP),November,2008,42750,867,1008,963,AGRA,UP,2008-11-01,78.0080745,27.1766701
AGRA(UP),November,2009,37750,1220,1424,1316,AGRA,UP,2009-11-01,78.0080745,27.1766701
AGRA(UP),November,2010,38705,1543,1674,1616,AGRA,UP,2010-11-01,78.0080745,27.1766701
AGRA(UP),November,2011,44660,971,1105,1042,AGRA,UP,2011-11-01,78.0080745,27.1766701
AGRA(UP),November,2012,36750,1029,1137,1085,AGRA,UP,2012-11-01,78.0080745,27.1766701
AGRA(UP),November,2013,30120,3489,3718,3631,AGRA,UP,2013-11-01,78.0080745,27.1766701
AGRA(UP),November,2014,63021,1520,1789,1675,AGRA,UP,2014-11-01,78.0080745,27.1766701
AGRA(UP),November,2015,67530,2527,2960,2832,AGRA,UP,2015-11-01,78.0080745,27.1766701
AGRA(UP),December,2005,13475,688,829,760,AGRA,UP,2005-12-01,78.0080745,27.1766701
AGRA(UP),December,2006,10300,497,565,534,AGRA,UP,2006-12-01,78.0080745,27.1766701
AGRA(UP),December,2007,46785,675,776,728,AGRA,UP,2007-12-01,78.0080745,27.1766701
AGRA(UP),December,2008,34400,1011,1140,1089,AGRA,UP,2008-12-01,78.0080745,27.1766701
AGRA(UP),December,2009,43500,1170,1320,1242,AGRA,UP,2009-12-01,78.0080745,27.1766701
AGRA(UP),December,2010,40465,2097,2377,2283,AGRA,UP,2010-12-01,78.0080745,27.1766701
AGRA(UP),December,2011,47490,725,827,788,AGRA,UP,2011-12-01,78.0080745,27.1766701
AGRA(UP),December,2012,44380,1223,1320,1274,AGRA,UP,2012-12-01,78.0080745,27.1766701
AGRA(UP),December,2013,63600,1748,1943,1878,AGRA,UP,2013-12-01,78.0080745,27.1766701
AGRA(UP),December,2014,74750,1450,1720,1623,AGRA,UP,2014-12-01,78.0080745,27.1766701
AGRA(UP),December,2015,106360,1486,1953,1857,AGRA,UP,2015-12-01,78.0080745,27.1766701
AHMEDABAD(GUJ),January,2005,41880,242,416,332,AHMEDABAD,GUJ,2005-01-01,72.5713621,23.022505
AHMEDABAD(GUJ),January,2006,24540,290,485,386,AHMEDABAD,GUJ,2006-01-01,72.5713621,23.022505
AHMEDABAD(GUJ),January,2008,97428,332,482,415,AHMEDABAD,GUJ,2008-01-01,72.5713621,23.022505
AHMEDABAD(GUJ),January,2009,77050,1031,1507,1250,AHMEDABAD,GUJ,2009-01-01,72.5713621,23.022505
AHMEDABAD(GUJ),January,2010,134394,796,1462,1202,AHMEDABAD,GUJ,2010-01-01,72.5713621,23.022505
AHMEDABAD(GUJ),January,2011,73739,1407,3243,2550,AHMEDABAD,GUJ,2011-01-01,72.5713621,23.022505
AHMEDABAD(GUJ),January,2012,111346,298,641,520,AHMEDABAD,GUJ,2012-01-01,72.5713621,23.022505
AHMEDABAD(GUJ),January,2013,112855,1150,1740,1490,AHMEDABAD,GUJ,2013-01-01,72.5713621,23.022505
AHMEDABAD(GUJ),January,2014,125617,773,1446,1233,AHMEDABAD,GUJ,2014-01-01,72.5713621,23.022505
AHMEDABAD(GUJ),January,2015,137027,829,1358,1158,AHMEDABAD,GUJ,2015-01-01,72.5713621,23.022505
AHMEDABAD(GUJ),January,2016,198390,646,1224,997,AHMEDABAD,GUJ,2016-01-01,72.5713621,23.022505
AHMEDABAD(GUJ),February,2005,80837,166,386,281,AHMEDABAD,GUJ,2005-02-01,72.5713621,23.022505
AHMEDABAD(GUJ),February,2006,41310,153,359,253,AHMEDABAD,GUJ,2006-02-01,72.5713621,23.022505
AHMEDABAD(GUJ),February,2008,66012,297,431,375,AHMEDABAD,GUJ,2008-02-01,72.5713621,23.022505
AHMEDABAD(GUJ),February,2009,54451,821,1325,1060,AHMEDABAD,GUJ,2009-02-01,72.5713621,23.022505
AHMEDABAD(GUJ),February,2010,127030,763,1209,1060,AHMEDABAD,GUJ,2010-02-01,72.5713621,23.022505
AHMEDABAD(GUJ),February,2011,98053,713,1135,974,AHMEDABAD,GUJ,2011-02-01,72.5713621,23.022505
AHMEDABAD(GUJ),February,2012,114550,261,539,405,AHMEDABAD,GUJ,2012-02-01,72.5713621,23.022505
AHMEDABAD(GUJ),February,2013,122794,1029,1878,1541,AHMEDABAD,GUJ,2013-02-01,72.5713621,23.022505
AHMEDABAD(GUJ),February,2014,120083,435,1025,833,AHMEDABAD,GUJ,2014-02-01,72.5713621,23.022505
AHMEDABAD(GUJ),February,2015,130766,1239,1886,1630,AHMEDABAD,GUJ,2015-02-01,72.5713621,23.022505
AHMEDABAD(GUJ),February,2016,173969,596,989,850,AHMEDABAD,GUJ,2016-02-01,72.5713621,23.022505
AHMEDABAD(GUJ),March,2005,23044,163,388,289,AHMEDABAD,GUJ,2005-03-01,72.5713621,23.022505
AHMEDABAD(GUJ),March,2006,74752,141,345,243,AHMEDABAD,GUJ,2006-03-01,72.5713621,23.022505
AHMEDABAD(GUJ),March,2007,5498,500,925,750,AHMEDABAD,GUJ,2007-03-01,72.5713621,23.022505
AHMEDABAD(GUJ),March,2008,46754,275,505,417,AHMEDABAD,GUJ,2008-03-01,72.5713621,23.022505
AHMEDABAD(GUJ),March,2009,64497,625,929,836,AHMEDABAD,GUJ,2009-03-01,72.5713621,23.022505
AHMEDABAD(GUJ),March,2010,100284,504,891,730,AHMEDABAD,GUJ,2010-03-01,72.5713621,23.022505
AHMEDABAD(GUJ),March,2011,114902,340,701,549,AHMEDABAD,GUJ,2011-03-01,72.5713621,23.022505
AHMEDABAD(GUJ),March,2012,133176,310,640,495,AHMEDABAD,GUJ,2012-03-01,72.5713621,23.022505
AHMEDABAD(GUJ),March,2013,129116,773,1280,1127,AHMEDABAD,GUJ,2013-03-01,72.5713621,23.022505
AHMEDABAD(GUJ),March,2014,173342,526,1090,888,AHMEDABAD,GUJ,2014-03-01,72.5713621,23.022505
AHMEDABAD(GUJ),March,2015,130950,1024,1513,1303,AHMEDABAD,GUJ,2015-03-01,72.5713621,23.022505
AHMEDABAD(GUJ),March,2016,124424,521,997,770,AHMEDABAD,GUJ,2016-03-01,72.5713621,23.022505
AHMEDABAD(GUJ),April,2005,58876,130,373,301,AHMEDABAD,GUJ,2005-04-01,72.5713621,23.022505
AHMEDABAD(GUJ),April,2006,20560,163,325,244,AHMEDABAD,GUJ,2006-04-01,72.5713621,23.022505
AHMEDABAD(GUJ),April,2008,67479,290,393,343,AHMEDABAD,GUJ,2008-04-01,72.5713621,23.022505
AHMEDABAD(GUJ),April,2009,58820,413,666,577,AHMEDABAD,GUJ,2009-04-01,72.5713621,23.022505
